PC Time,Fix Type,Velocity,clock drift,X,drift_rate,clock bias,RTC,Temp,LCD_Temp,Sensor_Temp,CH1_SA,CH1,CH1_Elev,CH1_Azmth,CH2_SA,CH2,CH2_Elev,CH2_Azmth,CH3_SA,CH3,CH3_Elev,CH3_Azmth,CH4_SA,CH4,CH4_Elev,CH4_Azmth,CH5_SA,CH5,CH5_Elev,CH5_Azmth,CH6_SA,CH6,CH6_Elev,CH6_Azmth,CH7_SA,CH7,CH7_Elev,CH7_Azmth,CH8_SA,CH8,CH8_Elev,CH8_Azmth,CH9_SA,CH9,CH9_Elev,CH9_Azmth,CH10_SA,CH10,CH10_Elev,CH10_Azmth,CH11_SA,CH11,CH11_Elev,CH11_Azmth,CH12_SA,CH12,CH12_Elev,CH12_Azmth,vel_lon,vel_lat,vel_alt
05-22-2020  02:22:36,U,0.000000,0.043420,0.001951,0.006645,0.000045,0.000000,26,0,0,16,44.09,0,0,65,45.60,0,0,72,45.60,0,0,78,44.20,0,0,207,0.00,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,0.000,0.000,-0.000
05-22-2020  02:22:37,U,0.000000,0.044123,0.011507,0.006373,0.000045,0.000000,26,0,0,16,44.20,0,0,65,45.50,0,0,72,45.40,0,0,78,44.20,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  02:22:38,U,0.000000,0.043832,0.004758,0.006494,0.000046,0.000000,26,0,0,16,44.20,0,0,65,45.30,0,0,72,45.30,0,0,78,44.00,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  02:22:39,U,0.000000,0.044736,0.014795,0.006987,0.000047,0.000000,26,0,0,16,44.09,0,0,65,45.10,0,0,72,45.20,0,0,78,43.90,0,0,207,0.00,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,0.000,0.000,-0.000
05-22-2020  02:22:40,U,0.000000,0.044616,0.001973,0.007072,0.000047,0.000000,26,0,0,16,43.96,0,0,65,45.00,0,0,72,44.90,0,0,78,43.70,0,0,207,0.00,0,0,16,43.96,0,0,16,43.96,0,0,16,43.96,0,0,16,43.96,0,0,16,43.96,0,0,16,43.96,0,0,16,43.96,0,0,0.000,0.000,-0.000
05-22-2020  02:22:41,U,0.000000,0.044592,0.000385,0.006900,0.000048,0.000000,26,0,0,16,43.98,0,0,65,44.80,0,0,72,44.80,0,0,78,43.60,0,0,207,0.00,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,0.000,0.000,-0.000
05-22-2020  02:22:42,U,0.000000,0.044683,0.001482,0.006011,0.000048,0.000000,26,0,0,16,44.16,0,0,65,44.80,0,0,72,44.80,0,0,78,43.70,0,0,207,0.00,0,0,16,44.16,0,0,16,44.16,0,0,16,44.16,0,0,16,44.16,0,0,16,44.16,0,0,16,44.16,0,0,16,44.16,0,0,0.000,0.000,-0.000
05-22-2020  02:22:43,U,0.000000,0.044708,0.000417,0.005445,0.000049,0.000000,26,0,0,16,44.20,0,0,65,44.90,0,0,72,45.00,0,0,78,43.80,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  02:22:44,U,0.000000,0.045252,0.000417,0.005445,0.000050,0.000000,26,0,0,16,44.18,0,0,65,45.10,0,0,72,45.20,0,0,78,43.90,0,0,207,0.00,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,0.000,0.000,-0.000
05-22-2020  02:22:45,U,0.000000,0.045597,0.014549,0.006554,0.000050,0.000000,26,0,0,16,44.00,0,0,65,45.40,0,0,72,45.30,0,0,78,44.10,0,0,207,0.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,0.000,0.000,-0.000
05-22-2020  02:22:46,U,0.000000,0.044920,0.011084,0.006290,0.000051,0.000000,26,0,0,16,43.95,0,0,65,45.50,0,0,72,45.50,0,0,78,44.30,0,0,207,0.00,0,0,16,43.95,0,0,16,43.95,0,0,16,43.95,0,0,16,43.95,0,0,16,43.95,0,0,16,43.95,0,0,16,43.95,0,0,0.000,0.000,-0.000
05-22-2020  02:22:47,U,0.000000,0.045889,0.015862,0.007681,0.000051,0.000000,26,0,0,16,44.09,0,0,65,45.60,0,0,72,45.60,0,0,78,44.30,0,0,207,0.00,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,0.000,0.000,-0.000
05-22-2020  02:22:48,U,0.000000,0.046151,0.004283,0.006959,0.000052,0.000000,26,0,0,16,44.21,0,0,65,45.40,0,0,72,45.50,0,0,78,44.20,0,0,207,0.00,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,0.000,0.000,-0.000
05-22-2020  02:22:49,U,0.000000,0.046719,0.009304,0.007413,0.000052,0.000000,26,0,0,16,44.21,0,0,65,45.30,0,0,72,45.30,0,0,78,44.00,0,0,207,0.00,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,0.000,0.000,-0.000
05-22-2020  02:22:50,U,0.000000,0.046637,0.001353,0.006069,0.000053,0.000000,26,0,0,16,44.07,0,0,65,45.10,0,0,72,45.20,0,0,78,43.80,0,0,207,0.00,0,0,16,44.07,0,0,16,44.07,0,0,16,44.07,0,0,16,44.07,0,0,16,44.07,0,0,16,44.07,0,0,16,44.07,0,0,0.000,0.000,-0.000
05-22-2020  02:22:51,U,0.000000,0.046187,0.007350,0.006607,0.000054,0.000000,26,0,0,16,43.91,0,0,65,44.90,0,0,72,45.00,0,0,78,43.70,0,0,207,0.00,0,0,16,43.91,0,0,16,43.91,0,0,16,43.91,0,0,16,43.91,0,0,16,43.91,0,0,16,43.91,0,0,16,43.91,0,0,0.000,0.000,-0.000
05-22-2020  02:22:52,U,0.000000,0.046603,0.006802,0.007248,0.000054,0.000000,26,0,0,16,44.00,0,0,65,44.80,0,0,72,44.90,0,0,78,43.50,0,0,207,0.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,0.000,0.000,-0.000
05-22-2020  02:22:53,U,0.000000,0.047188,0.009577,0.008058,0.000055,0.000000,26,0,0,16,44.18,0,0,65,44.80,0,0,72,44.90,0,0,78,43.60,0,0,207,0.00,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,0.000,0.000,-0.000
05-22-2020  02:22:54,U,0.000000,0.047335,0.002407,0.008257,0.000055,0.000000,27,0,0,16,44.29,0,0,65,45.00,0,0,72,45.00,0,0,78,43.70,0,0,207,0.00,0,0,16,44.29,0,0,16,44.29,0,0,16,44.29,0,0,16,44.29,0,0,16,44.29,0,0,16,44.29,0,0,16,44.29,0,0,0.000,0.000,-0.000
05-22-2020  02:22:55,U,0.000000,0.047171,0.002407,0.008257,0.000056,0.000000,27,0,0,16,44.11,0,0,65,45.20,0,0,72,45.20,0,0,78,43.90,0,0,207,0.00,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,0.000,0.000,-0.000
05-22-2020  02:22:56,U,0.000000,0.047693,0.005854,0.007387,0.000056,0.000000,27,0,0,16,43.93,0,0,65,45.30,0,0,72,45.40,0,0,78,44.10,0,0,207,0.00,0,0,16,43.93,0,0,16,43.93,0,0,16,43.93,0,0,16,43.93,0,0,16,43.93,0,0,16,43.93,0,0,16,43.93,0,0,0.000,0.000,-0.000
05-22-2020  02:22:57,U,0.000000,0.047681,0.000192,0.006298,0.000057,0.000000,27,0,0,16,44.03,0,0,65,45.50,0,0,72,45.50,0,0,78,44.30,0,0,207,0.00,0,0,16,44.03,0,0,16,44.03,0,0,16,44.03,0,0,16,44.03,0,0,16,44.03,0,0,16,44.03,0,0,16,44.03,0,0,0.000,0.000,-0.000
05-22-2020  02:22:58,U,0.000000,0.048114,0.007082,0.005420,0.000058,0.000000,27,0,0,16,44.13,0,0,65,45.40,0,0,72,45.60,0,0,78,44.30,0,0,207,0.00,0,0,16,44.13,0,0,16,44.13,0,0,16,44.13,0,0,16,44.13,0,0,16,44.13,0,0,16,44.13,0,0,16,44.13,0,0,0.000,0.000,-0.000
05-22-2020  02:22:59,U,0.000000,0.048405,0.004768,0.005469,0.000058,0.000000,27,0,0,16,44.20,0,0,65,45.30,0,0,72,45.50,0,0,78,44.10,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  02:23:00,U,0.000000,0.048323,0.001341,0.004673,0.000059,0.000000,27,0,0,16,44.11,0,0,65,45.10,0,0,72,45.20,0,0,78,43.90,0,0,207,0.00,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,0.000,0.000,-0.000
05-22-2020  02:23:01,U,0.000000,0.048264,0.000969,0.004634,0.000059,0.000000,27,0,0,16,43.98,0,0,65,45.00,0,0,72,45.00,0,0,78,43.80,0,0,207,0.00,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,0.000,0.000,-0.000
05-22-2020  02:23:02,U,0.000000,0.048649,0.006307,0.004530,0.000060,0.000000,27,0,0,16,44.00,0,0,65,44.80,0,0,72,44.80,0,0,78,43.60,0,0,207,0.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,0.000,0.000,-0.000
05-22-2020  02:23:03,U,0.000000,0.048578,0.001159,0.003966,0.000060,0.000000,27,0,0,16,44.20,0,0,65,44.80,0,0,72,44.80,0,0,78,43.60,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  02:23:04,U,0.000000,0.048854,0.004516,0.003460,0.000061,0.000000,27,0,0,16,44.20,0,0,65,45.00,0,0,72,44.90,0,0,78,43.70,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  02:23:05,U,0.000000,0.049272,0.006844,0.003903,0.000062,0.000000,27,0,0,16,44.13,0,0,65,45.00,0,0,72,45.10,0,0,78,43.90,0,0,207,0.00,0,0,16,44.13,0,0,16,44.13,0,0,16,44.13,0,0,16,44.13,0,0,16,44.13,0,0,16,44.13,0,0,16,44.13,0,0,0.000,0.000,-0.000
05-22-2020  02:23:06,U,0.000000,0.049091,0.006844,0.003903,0.000062,0.000000,27,0,0,16,44.00,0,0,65,45.30,0,0,72,45.30,0,0,78,44.10,0,0,207,0.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,0.000,0.000,-0.000
05-22-2020  02:23:07,U,0.000000,0.049413,0.002295,0.003547,0.000063,0.000000,27,0,0,16,44.00,0,0,65,45.40,0,0,72,45.50,0,0,78,44.20,0,0,207,0.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,0.000,0.000,-0.000
05-22-2020  02:23:08,U,0.000000,0.049600,0.003064,0.003835,0.000063,0.000000,27,0,0,16,44.14,0,0,65,45.40,0,0,72,45.60,0,0,78,44.20,0,0,207,0.00,0,0,16,44.14,0,0,16,44.14,0,0,16,44.14,0,0,16,44.14,0,0,16,44.14,0,0,16,44.14,0,0,16,44.14,0,0,0.000,0.000,-0.000
05-22-2020  02:23:09,U,0.000000,0.049724,0.002033,0.003330,0.000064,0.000000,27,0,0,16,44.23,0,0,65,45.40,0,0,72,45.50,0,0,78,44.20,0,0,207,0.00,0,0,16,44.23,0,0,16,44.23,0,0,16,44.23,0,0,16,44.23,0,0,16,44.23,0,0,16,44.23,0,0,16,44.23,0,0,0.000,0.000,-0.000
05-22-2020  02:23:10,U,0.000000,0.050513,0.012915,0.004144,0.000065,0.000000,27,0,0,16,44.11,0,0,65,45.10,0,0,72,45.40,0,0,78,44.00,0,0,207,0.00,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,16,44.11,0,0,0.000,0.000,-0.000
05-22-2020  02:23:11,U,0.000000,0.050334,0.002934,0.004304,0.000065,0.000000,27,0,0,16,43.97,0,0,65,44.90,0,0,72,45.10,0,0,78,43.90,0,0,207,0.00,0,0,16,43.97,0,0,16,43.97,0,0,16,43.97,0,0,16,43.97,0,0,16,43.97,0,0,16,43.97,0,0,16,43.97,0,0,0.000,0.000,-0.000
05-22-2020  02:23:12,U,0.000000,0.050162,0.002813,0.004488,0.000066,0.000000,27,0,0,16,44.00,0,0,65,44.80,0,0,72,44.90,0,0,78,43.60,0,0,207,0.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,0.000,0.000,-0.000
05-22-2020  02:23:13,U,0.000000,0.050038,0.002033,0.004061,0.000066,0.000000,27,0,0,16,44.09,0,0,65,44.70,0,0,72,44.80,0,0,78,43.50,0,0,207,0.00,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,0.000,0.000,-0.000
05-22-2020  02:23:14,U,0.000000,0.050303,0.004343,0.004379,0.000067,0.000000,27,0,0,16,44.20,0,0,65,44.80,0,0,72,44.90,0,0,78,43.60,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  02:23:15,U,0.000000,0.050680,0.006172,0.004545,0.000067,0.000000,27,0,0,16,44.08,0,0,65,45.00,0,0,72,45.10,0,0,78,43.80,0,0,207,0.00,0,0,16,44.08,0,0,16,44.08,0,0,16,44.08,0,0,16,44.08,0,0,16,44.08,0,0,16,44.08,0,0,16,44.08,0,0,0.000,0.000,-0.000
05-22-2020  02:23:16,U,0.000000,0.050784,0.001704,0.004031,0.000068,0.000000,27,0,0,16,43.91,0,0,65,45.30,0,0,72,45.20,0,0,78,44.00,0,0,207,0.00,0,0,16,43.91,0,0,16,43.91,0,0,16,43.91,0,0,16,43.91,0,0,16,43.91,0,0,16,43.91,0,0,16,43.91,0,0,0.000,0.000,-0.000
05-22-2020  02:23:17,U,0.000000,0.050888,0.001704,0.004031,0.000069,0.000000,27,0,0,16,44.00,0,0,65,45.50,0,0,72,45.50,0,0,78,44.20,0,0,207,0.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,0.000,0.000,-0.000
05-22-2020  02:23:18,U,0.000000,0.051355,0.009348,0.004736,0.000069,0.000000,27,0,0,16,44.09,0,0,65,45.40,0,0,72,45.60,0,0,78,44.20,0,0,207,0.00,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,0.000,0.000,-0.000
05-22-2020  02:23:19,U,0.000000,0.051796,0.007213,0.005151,0.000070,0.000000,27,0,0,16,44.14,0,0,65,45.40,0,0,72,45.50,0,0,78,44.10,0,0,207,0.00,0,0,16,44.14,0,0,16,44.14,0,0,16,44.14,0,0,16,44.14,0,0,16,44.14,0,0,16,44.14,0,0,16,44.14,0,0,0.000,0.000,-0.000
05-22-2020  02:23:20,U,0.000000,0.052025,0.003744,0.005322,0.000070,0.000000,27,0,0,16,44.00,0,0,65,45.20,0,0,72,45.20,0,0,78,43.90,0,0,207,0.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,0.000,0.000,-0.000
05-22-2020  02:23:21,U,0.000000,0.051802,0.003654,0.004396,0.000071,0.000000,27,0,0,16,44.00,0,0,65,45.00,0,0,72,45.00,0,0,78,43.80,0,0,207,0.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,16,44.00,0,0,0.000,0.000,-0.000
05-22-2020  02:23:22,U,0.000000,0.052430,0.010280,0.005130,0.000071,0.000000,27,0,0,16,44.08,0,0,65,44.80,0,0,72,44.90,0,0,78,43.60,0,0,207,0.00,0,0,16,44.08,0,0,16,44.08,0,0,16,44.08,0,0,16,44.08,0,0,16,44.08,0,0,16,44.08,0,0,16,44.08,0,0,0.000,0.000,-0.000
05-22-2020  02:23:23,U,0.000000,0.052096,0.005469,0.005396,0.000072,0.000000,27,0,0,16,44.20,0,0,65,44.80,0,0,72,44.90,0,0,78,43.70,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  02:23:24,U,0.000000,0.052966,0.014250,0.006618,0.000073,0.000000,27,0,0,16,44.18,0,0,65,44.90,0,0,72,45.00,0,0,78,43.80,0,0,207,0.00,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,16,44.18,0,0,0.000,0.000,-0.000
05-22-2020  02:23:25,U,0.000000,0.052572,0.006455,0.006829,0.000073,0.000000,27,0,0,16,44.01,0,0,65,45.10,0,0,72,45.20,0,0,78,43.90,0,0,207,0.00,0,0,16,44.01,0,0,16,44.01,0,0,16,44.01,0,0,16,44.01,0,0,16,44.01,0,0,16,44.01,0,0,16,44.01,0,0,0.000,0.000,-0.000
05-22-2020  02:23:26,U,0.000000,0.052626,0.000888,0.006300,0.000074,0.000000,27,0,0,16,43.98,0,0,65,45.40,0,0,72,45.40,0,0,78,44.10,0,0,207,0.00,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,0.000,0.000,-0.000
05-22-2020  02:23:27,U,0.000000,0.053059,0.007085,0.006839,0.000074,0.000000,27,0,0,16,44.17,0,0,65,45.40,0,0,72,45.50,0,0,78,44.30,0,0,207,0.00,0,0,16,44.17,0,0,16,44.17,0,0,16,44.17,0,0,16,44.17,0,0,16,44.17,0,0,16,44.17,0,0,16,44.17,0,0,0.000,0.000,-0.000
05-22-2020  02:23:28,U,0.000000,0.052679,0.007085,0.006839,0.000075,0.000000,27,0,0,16,44.20,0,0,65,45.40,0,0,72,45.50,0,0,78,44.20,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  02:23:29,U,0.000000,0.053135,0.001250,0.006029,0.000075,0.000000,27,0,0,16,44.09,0,0,65,45.40,0,0,72,45.30,0,0,78,44.10,0,0,207,0.00,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,0.000,0.000,-0.000
05-22-2020  02:23:30,U,0.000000,0.053449,0.005137,0.005821,0.000076,0.000000,27,0,0,16,43.98,0,0,65,45.10,0,0,72,45.20,0,0,78,43.90,0,0,207,0.00,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,16,43.98,0,0,0.000,0.000,-0.000
05-22-2020  02:23:31,U,0.000000,0.053539,0.001470,0.005594,0.000077,0.000000,27,0,0,16,44.07,0,0,65,44.90,0,0,72,45.00,0,0,78,43.70,0,0,207,0.00,0,0,16,44.07,0,0,16,44.07,0,0,16,44.07,0,0,16,44.07,0,0,16,44.07,0,0,16,44.07,0,0,16,44.07,0,0,0.000,0.000,-0.000
05-22-2020  02:23:32,U,0.000000,0.053359,0.002942,0.005523,0.000077,0.000000,27,0,0,16,44.14,0,0,65,44.70,0,0,72,44.80,0,0,78,43.60,0,0,207,0.00,0,0,16,44.14,0,0,16,44.14,0,0,16,44.14,0,0,16,44.14,0,0,16,44.14,0,0,16,44.14,0,0,16,44.14,0,0,0.000,0.000,-0.000
05-22-2020  02:23:33,U,0.000000,0.053506,0.002395,0.004734,0.000078,0.000000,27,0,0,16,44.20,0,0,65,44.80,0,0,72,44.90,0,0,78,43.70,0,0,207,0.00,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,16,44.20,0,0,0.000,0.000,-0.000
05-22-2020  02:23:34,U,0.000000,0.053452,0.000872,0.004274,0.000078,0.000000,27,0,0,16,44.07,0,0,65,45.00,0,0,72,45.00,0,0,78,43.90,0,0,207,0.00,0,0,16,44.07,0,0,16,44.07,0,0,16,44.07,0,0,16,44.07,0,0,16,44.07,0,0,16,44.07,0,0,16,44.07,0,0,0.000,0.000,-0.000
05-22-2020  02:23:35,U,0.000000,0.054049,0.009774,0.003827,0.000079,0.000000,27,0,0,16,43.95,0,0,65,45.30,0,0,72,45.30,0,0,78,44.00,0,0,207,0.00,0,0,16,43.95,0,0,16,43.95,0,0,16,43.95,0,0,16,43.95,0,0,16,43.95,0,0,16,43.95,0,0,16,43.95,0,0,0.000,0.000,-0.000
05-22-2020  02:23:36,U,0.000000,0.053517,0.008708,0.004052,0.000080,0.000000,27,0,0,16,44.09,0,0,65,45.50,0,0,72,45.40,0,0,78,44.10,0,0,207,0.00,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,0.000,0.000,-0.000
05-22-2020  02:23:37,U,0.000000,0.053963,0.007290,0.004692,0.000080,0.000000,27,0,0,16,44.21,0,0,65,45.50,0,0,72,45.50,0,0,78,44.10,0,0,207,0.00,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,16,44.21,0,0,0.000,0.000,-0.000
05-22-2020  02:23:38,U,0.000000,0.053973,0.000160,0.004000,0.000081,0.000000,27,0,0,16,44.09,0,0,65,45.40,0,0,72,45.40,0,0,78,44.10,0,0,207,0.00,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,16,44.09,0,0,0.000,0.000,-0.000
